model,paper_url,source_scope,dataset,pred_len,mse,mae,value_status,include_in_main_table,note
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm1,96,0.317,0.357,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm1,192,0.365,0.383,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm1,336,0.393,0.405,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm1,720,0.456,0.442,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm1,Avg,0.383,0.397,computed_from_4_horizons,yes,rounded arithmetic mean
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm2,96,0.176,0.259,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm2,192,0.238,0.300,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm2,336,0.296,0.338,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm2,720,0.395,0.396,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTm2,Avg,0.276,0.323,computed_from_4_horizons,yes,rounded arithmetic mean
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh1,96,0.373,0.397,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh1,192,0.424,0.427,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh1,336,0.472,0.448,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh1,720,0.479,0.475,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh1,Avg,0.437,0.437,computed_from_4_horizons,yes,rounded arithmetic mean
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh2,96,0.294,0.345,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh2,192,0.367,0.396,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh2,336,0.407,0.428,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh2,720,0.420,0.441,extracted,yes,
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ETTh2,Avg,0.372,0.403,computed_from_4_horizons,yes,rounded arithmetic mean
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ECL,96,0.138,0.235,extracted,yes,paper label Electricity
ForecastGrapher,https://arxiv.org/abs/2405.18036,official detailed main-result table,ECL,192,0.154,0.249,extracted,yes,paper label Electricity
